*** Cities are numbered 0..n-1 and each line shows a leg from one city to the next 
 followed by the distance rounded to integers***

2950 2950
0 267 8
267 523 7
523 971 5
971 297 6
297 333 8
333 1254 4
1254 1019 7
1019 454 11
454 542 6
542 434 8
434 553 5
553 1126 7
1126 813 4
813 1010 6
1010 771 9
771 1514 6
1514 972 10
972 2797 4
2797 809 7
809 1849 5
1849 1918 8
1918 1707 7
1707 1216 6
1216 605 9
605 367 4
367 268 6
268 349 5
349 696 4
696 241 8
241 443 5
443 295 4
295 533 4
533 342 4
342 992 8
992 1724 4
1724 464 3
464 196 7
196 1210 5
1210 1931 6
1931 1003 6
1003 448 6
448 698 4
698 2116 5
2116 501 4
501 275 6
275 398 3
398 115 6
115 886 5
886 1043 4
1043 1020 5
1020 1306 6
1306 914 3
914 1000 4
1000 425 7
425 506 6
506 1009 7
1009 2233 8
2233 1376 8
1376 873 7
873 727 6
727 1926 8
1926 1164 7
1164 1177 11
1177 1833 6
1833 134 5
134 839 6
839 1179 12
1179 1405 7
1405 442 7
442 2322 5
2322 1196 3
1196 1249 12
1249 1148 11
1148 2031 7
2031 1053 14
1053 2319 3
2319 2353 9
2353 1099 6
1099 1022 4
1022 530 4
530 512 5
512 350 4
350 1077 6
1077 657 7
657 667 6
667 313 3
313 554 5
554 43 4
43 576 6
576 412 5
412 715 2
715 1252 6
1252 752 8
752 946 7
946 1026 7
1026 1326 8
1326 1895 8
1895 1494 8
1494 1393 4
1393 1627 9
1627 2812 5
2812 1678 10
1678 1014 5
1014 382 4
382 1279 8
1279 1952 5
1952 1353 6
1353 822 9
822 112 9
112 1699 5
1699 2759 7
2759 1794 6
1794 2591 3
2591 2173 4
2173 2240 8
2240 2261 2
2261 1288 10
1288 1661 8
1661 1758 4
1758 1340 8
1340 1883 4
1883 2625 8
2625 1410 8
1410 2115 8
2115 1342 6
1342 911 4
911 1243 4
1243 200 4
200 1387 4
1387 131 3
131 1508 5
1508 615 4
615 1585 5
1585 400 7
400 383 2
383 987 4
987 26 5
26 429 9
429 689 4
689 439 4
439 1961 5
1961 701 6
701 901 3
901 966 11
966 2864 6
2864 557 6
557 1568 6
1568 1072 6
1072 2100 7
2100 1282 3
1282 1886 7
1886 634 8
634 2582 8
2582 1378 7
1378 690 7
690 1341 6
1341 190 6
190 638 3
638 1650 4
1650 2783 8
2783 1089 6
1089 585 7
585 593 8
593 519 6
519 502 8
502 102 6
102 1505 6
1505 2845 6
2845 2808 7
2808 1903 4
1903 490 5
490 2384 8
2384 1600 7
1600 1638 4
1638 255 6
255 609 3
609 473 3
473 54 2
54 641 5
641 391 4
391 586 6
586 1864 6
1864 433 10
433 1573 4
1573 239 7
239 2041 6
2041 123 14
123 167 8
167 203 4
203 216 7
216 119 13
119 518 4
518 654 6
654 560 9
560 100 4
100 1407 7
1407 1059 4
1059 2558 8
2558 2740 6
2740 304 8
304 892 4
892 2262 10
2262 1207 7
1207 704 5
704 744 5
744 53 3
53 694 5
694 1877 4
1877 959 4
959 1989 4
1989 862 6
862 1351 7
1351 1554 6
1554 1976 4
1976 1156 7
1156 755 5
755 1423 4
1423 2062 4
2062 2192 9
2192 1897 7
1897 1466 8
1466 2736 5
2736 1962 6
1962 2060 7
2060 96 7
96 1715 7
1715 2518 4
2518 2125 8
2125 2013 6
2013 2585 6
2585 2527 6
2527 1109 5
1109 1457 8
1457 2730 6
2730 2483 5
2483 184 4
184 1835 9
1835 762 5
762 13 7
13 767 2
767 457 6
457 2570 4
2570 1593 4
1593 2374 8
2374 2578 5
2578 2468 9
2468 2529 6
2529 2745 6
2745 2710 7
2710 2540 8
2540 2904 5
2904 2165 8
2165 415 6
415 1435 5
1435 2512 6
2512 2228 7
2228 263 7
263 2039 4
2039 2475 6
2475 259 6
259 2530 6
2530 2204 6
2204 228 7
228 1789 4
1789 2872 4
2872 2782 8
2782 2373 7
2373 23 6
23 2069 4
2069 2880 9
2880 2907 7
2907 2640 6
2640 2611 6
2611 1859 6
1859 1721 3
1721 1398 8
1398 1433 5
1433 2773 5
2773 63 4
63 2664 10
2664 1565 10
1565 2718 10
2718 1538 6
1538 626 3
626 1248 10
1248 2715 2
2715 2694 6
2694 2481 12
2481 2714 4
2714 2639 7
2639 2599 7
2599 1646 6
1646 1443 8
1443 2846 11
2846 2137 8
2137 2337 9
2337 2804 12
2804 214 9
214 1949 15
1949 1460 11
1460 2434 25
2434 336 10
336 114 7
114 859 7
859 217 7
217 1095 4
1095 975 6
975 168 7
168 1959 8
1959 2011 8
2011 1772 6
1772 1942 7
1942 2243 3
2243 160 7
160 2389 8
2389 2725 10
2725 2440 10
2440 1519 8
1519 2663 11
2663 51 12
51 2497 4
2497 2400 6
2400 2004 10
2004 2093 8
2093 2616 6
2616 1673 8
1673 2099 11
2099 1560 8
1560 2556 6
2556 2089 8
2089 2548 11
2548 2358 8
2358 2554 12
2554 1448 14
1448 1447 7
1447 2584 4
2584 170 6
170 2029 9
2029 2304 8
2304 2936 7
2936 2758 11
2758 1955 7
1955 2067 10
2067 2498 6
2498 192 8
192 2035 3
2035 1669 6
1669 984 4
984 65 8
65 687 5
687 2496 12
2496 2420 6
2420 2395 10
2395 158 11
158 2241 7
2241 2321 11
